id_entrance;name_ru;name_en;name_pl;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
1252;Девяткино-1;Devjatkino-1;Devjatkino-1;21;both;60.050485;30.443664;750;68;0;0;0;363;751;18
1253;Девяткино-2;Devjatkino-2;Devjatkino-2;21;both;60.050752;30.443831;750;66;0;0;0;363;751;18
1254;Девяткино-3;Devjatkino-3;Devjatkino-3;21;both;60.050806;30.442299;750;66;0;0;0;363;751;18
1276;Купчино-1;Kupchino-1;Kupchino-1;23;both;59.829752;30.373803;705;62;0;0;0;360;732;24
1277;Купчино-2;Kupchino-2;Kupchino-2;23;out;59.829884;30.375192;735;10;0;0;0;350;740;25
1278;Купчино-3;Kupchino-3;Kupchino-3;23;both;59.830279;30.376714;705;62;0;0;0;414;655;24
1279;Купчино-4;Kupchino-4;Kupchino-4;23;both;59.829988;30.374873;705;60;0;0;0;358;732;24
1280;Купчино-5;Kupchino-5;Kupchino-5;23;both;59.830054;30.373647;705;62;0;0;0;360;732;24
1281;Купчино-6;Kupchino-6;Kupchino-6;23;both;59.829869;30.374732;705;62;0;0;0;360;732;24
1282;Купчино-7;Kupchino-7;Kupchino-7;23;both;59.830185;30.374580;705;62;0;0;0;360;732;24
1288;Звёздная-1;Zvjozdnaja-1;Zvjozdnaja-1;24;both;59.833278;30.349056;935;1;1;0;0;0;0;0
1300;Московская-1;Moskovskaja-1;Moskovskaja-1;25;both;59.853202;30.321755;935;36;0;0;0;353;743;24
1301;Московская-2;Moskovskaja-2;Moskovskaja-2;25;both;59.853520;30.321740;935;38;0;0;0;353;744;24
1302;Московская-3;Moskovskaja-3;Moskovskaja-3;25;both;59.853208;30.320884;935;35;0;0;0;353;742;24
